,Region,Number of Taxa
0,ABT,1672
1,AFG,4530
2,AGE,5390
3,AGS,2089
4,AGW,5400
5,ALA,3109
6,ALB,3498
7,ALD,198
8,ALG,3631
9,ALT,2626
10,ALU,369
11,AMU,1445
12,AND,1835
13,ANG,6219
14,ANT,3
15,ARI,3659
16,ARK,2227
17,ARU,287
18,ASC,36
19,ASK,1417
20,ASP,32
21,ASS,6592
22,ATP,212
23,AUT,3893
24,AZO,559
25,BAH,1088
26,BAL,1496
27,BAN,4235
28,BEN,2323
29,BER,197
30,BGM,2003
31,BIS,1711
32,BKN,1844
33,BLR,1478
34,BLT,1930
35,BLZ,3639
36,BOL,14888
37,BOR,12060
38,BOT,2500
39,BRC,2357
40,BRY,1852
41,BUL,4021
42,BUR,2834
43,BZC,9969
44,BZE,11616
45,BZL,18396
46,BZN,13576
47,BZS,8612
48,CAB,945
49,CAF,3688
50,CAL,5807
51,CAY,556
52,CBD,3940
53,CGS,54
54,CHA,2145
55,CHC,20519
56,CHH,3625
57,CHI,2785
58,CHM,2484
59,CHN,5602
60,CHQ,2213
61,CHS,11745
62,CHT,7190
63,CHX,3481
64,CKI,76
65,CLC,3024
66,CLM,25233
67,CLN,1754
68,CLS,1389
69,CMN,7119
70,CNT,1755
71,CNY,1670
72,COL,2798
73,COM,1103
74,CON,3990
75,COO,294
76,COR,2206
77,COS,10803
78,CPI,209
79,CPP,15851
80,CPV,606
81,CRL,1036
82,CRZ,22
83,CTA,1532
84,CTM,365
85,CUB,6161
86,CVI,538
87,CYP,1652
88,CZE,3651
89,DEL,1593
90,DEN,1811
91,DJI,777
92,DOM,3969
93,DSV,28
94,EAI,2119
95,EAS,41
96,ECU,18501
97,EGY,1607
98,EHM,8194
99,ELS,3623
100,EQG,1604
101,ERI,1843
102,ETH,5198
103,FAL,183
104,FIJ,1711
105,FIN,2780
106,FLA,3190
107,FOR,369
108,FRA,6545
109,FRG,5156
110,GAB,5078
111,GAL,593
112,GAM,799
113,GEO,3094
114,GER,4475
115,GGI,1952
116,GHA,3175
117,GIL,96
118,GNB,1420
119,GNL,529
120,GRB,2980
121,GRC,5377
122,GST,731
123,GUA,8352
124,GUI,3570
125,GUY,6361
126,HAI,3715
127,HAW,1317
128,HBI,12
129,HMD,11
130,HON,6708
131,HUN,2559
132,ICE,788
133,IDA,2443
134,ILL,2336
135,IND,8128
136,INI,2039
137,IOW,1609
138,IRE,1444
139,IRK,1725
140,IRN,8323
141,IRQ,3122
142,ITA,6155
143,IVO,3791
144,JAM,3088
145,JAP,5511
146,JAW,5403
147,JNF,261
148,KAM,1161
149,KAN,1745
150,KAZ,5324
151,KEG,32
152,KEN,6422
153,KER,129
154,KGZ,3926
155,KHA,1870
156,KOR,3258
157,KRA,2184
158,KRI,1968
159,KRY,2267
160,KTY,2142
161,KUR,1136
162,KUW,360
163,KZN,181
164,LAB,730
165,LAO,5281
166,LBR,2731
167,LBS,3916
168,LBY,1818
169,LDV,183
170,LEE,2086
171,LES,1644
172,LIN,50
173,LOU,2363
174,LSI,3101
175,MAG,1260
176,MAI,1677
177,MAN,1380
178,MAQ,42
179,MAS,1886
180,MAU,1003
181,MCI,70
182,MCS,10
183,MDG,11862
184,MDR,817
185,MDV,153
186,MIC,2041
187,MIN,1878
188,MLI,1858
189,MLW,4737
190,MLY,8901
191,MNT,2256
192,MOL,3354
193,MON,3009
194,MOR,4217
195,MOZ,5499
196,MPE,24
197,MRN,472
198,MRQ,364
199,MRS,125
200,MRY,2238
201,MSI,2335
202,MSO,2169
203,MTN,1010
204,MXC,7547
205,MXE,11414
206,MXG,7906
207,MXI,280
208,MXN,7060
209,MXS,14190
210,MXT,9351
211,MYA,9699
212,NAM,3811
213,NAT,5124
214,NBR,1153
215,NCA,2996
216,NCB,1235
217,NCS,4149
218,NDA,1142
219,NEB,1481
220,NEP,6374
221,NET,1939
222,NEV,2865
223,NFK,360
224,NFL,1012
225,NGA,4794
226,NGR,1079
227,NIC,5894
228,NLA,483
229,NNS,1837
230,NOR,3187
231,NRU,57
232,NSC,1123
233,NSW,6075
234,NTA,4148
235,NUE,216
236,NUN,625
237,NWC,3368
238,NWG,13475
239,NWH,1566
240,NWJ,2035
241,NWM,3492
242,NWT,1059
243,NWY,2452
244,NZN,1494
245,NZS,1939
246,OFS,2607
247,OGA,348
248,OHI,2036
249,OKL,2340
250,OMA,1316
251,ONT,2236
252,ORE,3283
253,PAK,4618
254,PAL,2809
255,PAN,10199
256,PAR,5348
257,PEI,710
258,PEN,2225
259,PER,20882
260,PHI,9437
261,PHX,28
262,PIT,118
263,POL,2958
264,POR,2704
265,PRM,2119
266,PUE,2399
267,QLD,8396
268,QUE,1977
269,REU,993
270,RHO,1350
271,ROD,206
272,ROM,3578
273,RUC,2123
274,RUE,2555
275,RUN,1905
276,RUS,2174
277,RUW,1535
278,RWA,2630
279,SAK,1257
280,SAM,859
281,SAR,2087
282,SAS,1312
283,SAU,2072
284,SCA,2689
285,SCI,624
286,SCS,210
287,SCZ,301
288,SDA,1458
289,SEL,98
290,SEN,2108
291,SEY,414
292,SGE,23
293,SIC,2561
294,SIE,2681
295,SIN,1247
296,SOA,3222
297,SOC,804
298,SOL,2307
299,SOM,3166
300,SPA,7059
301,SRL,3746
302,SSA,2
303,STH,88
304,SUD,4014
305,SUL,4707
306,SUM,7538
307,SUR,4505
308,SVA,200
309,SWC,264
310,SWE,3869
311,SWI,3418
312,SWZ,2626
313,TAI,4827
314,TAN,9756
315,TAS,1829
316,TCI,405
317,TCS,5639
318,TDC,98
319,TEN,2496
320,TEX,4833
321,THA,11376
322,TKM,2679
323,TOG,2028
324,TOK,70
325,TON,519
326,TRT,2567
327,TUA,152
328,TUB,376
329,TUE,2227
330,TUN,2409
331,TUR,10200
332,TUV,53
333,TVA,1705
334,TVL,5385
335,TZK,4343
336,UGA,4756
337,UKR,3285
338,URU,2593
339,UTA,2999
340,UZB,3929
341,VAN,1352
342,VEN,16335
343,VER,1692
344,VIC,3385
345,VIE,12045
346,VNA,827
347,VRG,2672
348,WAK,22
349,WAL,303
350,WAS,2508
351,WAU,10795
352,WDC,1099
353,WHM,5832
354,WIN,2036
355,WIS,1928
356,WSA,392
357,WSB,2411
358,WVA,1821
359,WYO,2313
360,XMS,215
361,YAK,1872
362,YEM,2074
363,YUG,5505
364,YUK,1130
365,ZAI,9546
366,ZAM,6215
367,ZIM,5312
368,nep,1
